,Aircraft,Cabin Staff Service,Date Flown,Food & Beverages,Ground Service,Inflight Entertainment,Recommended,Route,Seat Comfort,Seat Type,Type Of Traveller,Value For Money,Wifi & Connectivity
247,A320,5,November 2019,3.0,5,5.0,yes,Tirana to London,4,Economy Class,Business,5,5.0
248,Boeing 747-400,5,November 2019,5.0,5,5.0,yes,Gatwick to St Lucia,5,Economy Class,Solo Leisure,5,
249,Boeing 787-9,5,October 2019,5.0,4,5.0,yes,Seychelles to London,5,Business Class,Couple Leisure,5,
250,Boeing 787,4,October 2019,4.0,3,1.0,no,San Jose to London,2,Business Class,Couple Leisure,2,
251,Boeing 777-200,4,October 2019,4.0,5,5.0,yes,Gatwick to Barbados,4,Economy Class,Family Leisure,5,5.0
252,Boeing 777,5,October 2019,5.0,5,5.0,yes,Toronto to London,3,Economy Class,Couple Leisure,5,
253,A380,5,October 2019,5.0,5,4.0,yes,San Francisco to London,5,Business Class,Couple Leisure,4,
254,,3,April 2019,3.0,2,2.0,no,London Gatwick to Salzburg,2,Economy Class,Couple Leisure,2,2.0
255,Boeing 747-400,1,October 2019,1.0,3,4.0,no,Vancouver to London,4,Business Class,Business,2,
256,Boeing 787,1,October 2019,2.0,2,3.0,no,Kuala Lumpur to Glasgow via London,5,Premium Economy,Solo Leisure,1,
257,Boeing 787-900,5,October 2019,5.0,5,5.0,yes,London Heathrow to Seychelles,5,Business Class,Couple Leisure,5,
258,A321,4,September 2019,4.0,4,4.0,yes,Amman to London,4,Economy Class,Couple Leisure,4,
259,Boeing 777,2,October 2019,1.0,1,1.0,no,New York JFK to London,1,Economy Class,Couple Leisure,1,
260,Boeing 777-200,3,September 2019,1.0,4,1.0,no,Buenos Aires to London Heathrow,1,Premium Economy,Couple Leisure,1,
261,"Boeing 787-9, A320-200",4,September 2019,4.0,4,4.0,yes,Mexico City to Barcelona via London Heathrow,5,Economy Class,Solo Leisure,3,
262,Boeing 787-900,5,October 2019,5.0,5,4.0,yes,London Heathrow to Abu Dhabi,5,Economy Class,Couple Leisure,4,3.0
263,,5,September 2019,1.0,1,1.0,no,Johannesburg to Amsterdam via London,4,Economy Class,Couple Leisure,2,2.0
264,A350,5,September 2019,5.0,5,3.0,yes,Dubai to London Heathrow,5,Business Class,Business,4,4.0
265,Boeing 787-9,5,October 2019,5.0,5,5.0,yes,Kuala Lumpur to London,5,Economy Class,Family Leisure,5,
266,Boeing 787,4,August 2019,3.0,4,4.0,yes,London to Kuala Lumpur,5,Premium Economy,Couple Leisure,4,4.0
267,,3,October 2019,1.0,3,3.0,no,Newark to Madrid via London,3,Premium Economy,Couple Leisure,3,1.0
268,A320,5,September 2019,5.0,2,5.0,yes,Gatwick to Alicante,5,Business Class,Business,5,
269,A380,5,September 2019,4.0,4,4.0,yes,Vancouver to London,5,Premium Economy,Solo Leisure,4,
270,Boeing 747,5,September 2019,4.0,3,2.0,yes,London Heathrow to Austin,4,Business Class,Couple Leisure,5,
271,Boeing 747,4,September 2019,4.0,4,1.0,yes,London Heathrow to Austin,4,Business Class,Couple Leisure,4,
272,A320,4,September 2019,4.0,3,,yes,Cephalonia to London,3,Business Class,Couple Leisure,3,4.0
273,A380,4,August 2019,1.0,1,1.0,no,Chicago to Zurich via London,1,Economy Class,Family Leisure,3,
274,,5,August 2019,3.0,1,3.0,no,Phoenix to Tel Aviv via London,3,Premium Economy,Family Leisure,1,1.0
275,Boeing 777-200,4,September 2019,1.0,1,1.0,no,London Heathrow to Abuja Nigeria,3,Economy Class,Business,2,
276,Boeing 777-300,3,September 2019,4.0,4,1.0,no,London to Bangkok,2,Economy Class,Solo Leisure,3,
277,Boeing 747-400,5,August 2019,5.0,5,5.0,yes,Belfast to San Francisco via London,5,Business Class,Couple Leisure,5,
278,Boeing 787 / A320,2,September 2019,2.0,1,4.0,no,Mahe to Stockholm via London,1,Business Class,Solo Leisure,2,
279,A319 / Boeing777,5,September 2019,3.0,5,3.0,yes,Glasgow to Tampa via Gatwick,4,Business Class,Couple Leisure,4,
280,Boeing 777-200,3,September 2019,1.0,3,4.0,no,Orlando to Gatwick,2,Economy Class,Family Leisure,1,
281,Boeing 787,4,August 2019,5.0,4,5.0,yes,London to Abu Dhabi,3,Economy Class,Family Leisure,4,
282,Boeing 777,2,May 2019,1.0,4,2.0,no,Sydney to London via Singapore,4,Premium Economy,Business,3,3.0
283,Boeing 777-200,5,August 2019,4.0,5,3.0,yes,London to Shanghai,5,First Class,Family Leisure,5,3.0
284,,3,August 2019,3.0,1,4.0,no,Chicago to Heathrow via Barcelona,3,Business Class,Business,3,4.0
285,,5,November 2018,5.0,5,5.0,yes,New Orleans to London,5,Economy Class,Family Leisure,5,5.0
286,Boeing 747,1,June 2019,1.0,1,1.0,no,Boston to Copenhagen via London,1,Premium Economy,Family Leisure,1,1.0
287,Boeing 777-200,3,July 2019,4.0,5,1.0,no,London Gatwick to San Jose Costa Rica,1,Business Class,Business,1,1.0
288,Boeing 777,4,August 2019,3.0,1,3.0,no,London to Dubai,3,Economy Class,Solo Leisure,3,
289,"A340-300, A320",5,August 2019,5.0,5,5.0,yes,Toronto to Pisa London Heathrow,4,Business Class,Family Leisure,5,
290,,4,August 2019,2.0,1,2.0,no,Chicago to London,2,Premium Economy,Couple Leisure,3,4.0
291,Boeing 777-200,5,July 2019,4.0,5,4.0,yes,Gatwick to Orlando,4,Economy Class,Family Leisure,4,
292,A320,5,July 2019,5.0,5,3.0,yes,Vienna to Heathrow,4,Economy Class,Solo Leisure,4,
293,A321,2,August 2019,2.0,1,1.0,no,Malaga to London,1,Business Class,Couple Leisure,1,1.0
294,,4,August 2019,3.0,1,3.0,no,Sydney to Singapore,1,Business Class,Couple Leisure,1,1.0
295,,2,August 2019,1.0,1,1.0,no,Inverness to Vancouver via London,2,Economy Class,Solo Leisure,1,1.0
296,A320,1,August 2019,1.0,1,1.0,no,Palma to London Heathrow,1,Business Class,Couple Leisure,1,1.0
297,Boeing 777,5,July 2019,4.0,4,2.0,yes,Buenos Aires to London Heathrow,3,Economy Class,Couple Leisure,4,
298,Boeing 777-300ER,3,July 2019,3.0,2,3.0,yes,Hong Kong to London,4,Economy Class,Family Leisure,3,2.0
299,,4,July 2019,4.0,1,4.0,no,London Heathrow to Las Vegas,3,Premium Economy,Business,3,1.0
300,B777-200,1,June 2019,3.0,3,2.0,no,London to Delhi,1,Economy Class,Business,2,
301,Boeing 747-400,3,July 2019,1.0,3,1.0,no,London Heathrow to Austin,1,Economy Class,Family Leisure,2,1.0
302,Boeing 737-800,5,July 2019,5.0,5,5.0,yes,Johannesburg OR Tambo to Cape Town,4,Economy Class,Family Leisure,5,
303,Boeing 777-200,4,July 2019,3.0,4,5.0,yes,Grenada to Gatwick,1,Economy Class,Family Leisure,3,
304,Boeing 777,5,July 2019,3.0,5,5.0,yes,London to Dubai,5,Premium Economy,Solo Leisure,5,5.0
305,Boeing 737,4,July 2019,1.0,3,3.0,yes,Orlando to London,3,Premium Economy,Family Leisure,3,1.0
306,A320,1,September 2018,1.0,1,1.0,no,Heathrow to Marseille,1,Economy Class,Solo Leisure,1,1.0
307,B777-200,1,July 2019,1.0,3,4.0,no,Barbados to Gatwick,3,Economy Class,Couple Leisure,3,
308,A380,5,June 2019,5.0,5,5.0,yes,London Heathrow to Singapore,5,Economy Class,Solo Leisure,5,
309,A319 / Boeing 789,2,June 2019,2.0,1,2.0,no,Hamburg to Abu Dhabi via London Heathrow,1,Economy Class,Business,3,1.0
310,Boeing 777-200 and A319,3,June 2019,3.0,3,4.0,yes,New York to Glasgow via London,3,Economy Class,Solo Leisure,4,
311,,5,June 2019,5.0,5,1.0,yes,London Heathrow to New York,5,Economy Class,Family Leisure,5,5.0
312,Boeing 777-200,5,June 2019,5.0,3,5.0,yes,Gatwick to Bermuda,4,Business Class,Family Leisure,5,2.0
313,A321 / Boeing 787-9,2,October 2018,2.0,3,4.0,no,Manchester to Kuala Lumpur via London,2,Economy Class,Family Leisure,3,3.0
314,Boeing 787,1,June 2019,2.0,1,1.0,no,London to Seoul,1,Business Class,Solo Leisure,1,1.0
315,A380,4,June 2019,4.0,3,2.0,no,London to Vancouver,2,Economy Class,Solo Leisure,3,1.0
316,Boeing 777 / 747,4,June 2019,1.0,3,5.0,no,Tel Aviv to New York via London,3,Economy Class,Solo Leisure,3,
317,A319 / Boeing 777,4,April 2019,2.0,3,3.0,no,Belfast  to Atlanta via London,3,Economy Class,Solo Leisure,2,
318,Boeing 787-9,1,May 2019,1.0,1,1.0,no,London to Nashville,1,Business Class,Business,1,1.0
319,B747-400 in retro,5,June 2019,5.0,5,3.0,yes,London to Washington,5,First Class,Solo Leisure,5,
320,,3,June 2019,4.0,3,3.0,yes,London to Bengaluru,4,Economy Class,Business,4,3.0
321,,5,May 2019,4.0,4,4.0,yes,London to Delhi,4,First Class,Couple Leisure,4,3.0
322,B737-400 / A380 / A319,5,May 2019,5.0,5,5.0,yes,Durban to Leeds via Johannesburg / Heathrow,4,Business Class,Couple Leisure,5,
323,Boeing 787,5,May 2019,5.0,5,5.0,yes,London Heathrow to Los Angeles,4,Business Class,Couple Leisure,4,
324,Boeing 744,4,May 2019,4.0,4,3.0,yes,Cape Town to London Heathrow,3,Business Class,Couple Leisure,3,
325,Boeing 777-200,4,May 2019,4.0,4,1.0,no,Lima to Gatwick,2,Economy Class,Couple Leisure,3,
326,,5,May 2019,4.0,4,4.0,no,Inverness to Auckland via Singapore,1,Economy Class,Solo Leisure,2,1.0
327,Boeing 777-200,1,May 2019,2.0,3,4.0,no,Gatwick to Barbados,3,Economy Class,Couple Leisure,3,
328,A380 / Boeing 777,4,May 2019,3.0,4,3.0,yes,Boston to London Heathrow,4,Economy Class,Solo Leisure,4,
329,Boeing 747-400,4,May 2019,4.0,3,3.0,yes,London to Cape Town,4,First Class,Couple Leisure,3,
330,A380,5,May 2019,4.0,4,3.0,yes,Vancouver to London,4,Economy Class,Couple Leisure,4,4.0
331,Boeing 747 400,4,May 2019,4.0,3,4.0,yes,Washington to London,4,First Class,Business,4,1.0
332,Boeing 777-200,1,April 2019,1.0,3,1.0,no,London to Shanghai,2,Business Class,Business,2,
333,Boeing 787,5,December 2018,5.0,1,5.0,yes,London to Calgary,5,Business Class,Solo Leisure,5,
334,Boeing 747,5,April 2019,5.0,5,5.0,yes,Vancouver to London,5,Business Class,Couple Leisure,5,
335,Boeing 777-200/300,5,April 2019,4.0,5,2.0,yes,London Heathrow to Bengaluru,3,Economy Class,Couple Leisure,5,
336,Boeing 747-400,2,April 2019,3.0,3,3.0,no,London to Seattle,4,Business Class,Business,2,
337,Boeing 747,3,March 2019,4.0,4,1.0,no,London to Boston,2,Business Class,Business,2,
338,Boeing 787-9,4,April 2019,3.0,5,1.0,yes,London to Doha,3,Business Class,Family Leisure,4,
339,Boeing 747,5,April 2019,5.0,4,4.0,yes,London Heathrow to Houston,5,Economy Class,Couple Leisure,4,
340,Boeing 787-9,5,November 2018,5.0,5,5.0,yes,London to Tokyo Narita,5,First Class,Couple Leisure,5,
341,777,2,April 2019,1.0,1,1.0,no,St Lucia to Gatwick,1,Economy Class,Couple Leisure,1,
342,Boeing 787-9 / A319,4,March 2019,2.0,4,2.0,yes,Doha to Paris via London,5,Business Class,Family Leisure,3,
343,Boeing 747-400,5,March 2019,4.0,4,4.0,yes,London to Vancouver,3,Economy Class,Solo Leisure,4,
344,Boeing 777,5,March 2019,2.0,4,3.0,yes,London to Mumbai,4,First Class,Solo Leisure,4,
345,Boeing 777,2,March 2019,1.0,2,1.0,no,London to Chicago,2,First Class,Business,2,
346,Boeing 787,5,March 2019,5.0,4,5.0,yes,Los Angeles to London,4,Business Class,Couple Leisure,5,
347,Boeing 777,2,March 2019,2.0,1,2.0,no,Tampa to Gatwick,2,Economy Class,Couple Leisure,1,
348,Boeing 777,1,February 2019,1.0,3,1.0,no,Gatwick to St Lucia,2,Business Class,Couple Leisure,1,1.0
349,Boeing 777,5,February 2019,3.0,5,4.0,yes,London to Austin,4,Economy Class,Business,4,
350,B777,2,March 2019,1.0,1,1.0,no,Edinburgh to Boston via London,1,Economy Class,Couple Leisure,1,
351,Boeing 777,3,February 2019,2.0,2,1.0,no,Gatwick to Mauritius,1,Economy Class,Couple Leisure,2,
352,,2,February 2019,1.0,1,4.0,no,New York to Venice via London,1,Business Class,Business,1,2.0
353,B747-400,1,February 2019,1.0,1,1.0,no,Chicago to London Heathrow,1,Business Class,Business,1,1.0
354,Boeing 747-400,2,February 2019,1.0,1,1.0,no,London to Chicago,1,First Class,Business,1,1.0
355,A380,1,December 2018,1.0,4,3.0,no,London to Johannesburg,2,Business Class,Business,1,
356,Boeing 787-9,3,February 2019,3.0,3,2.0,yes,Doha to London Heathrow,3,Economy Class,Business,3,2.0
357,,5,October 2018,5.0,5,5.0,yes,Miami to Tel Aviv via London,5,Premium Economy,Solo Leisure,5,5.0
358,Boeing 787-9,4,February 2019,3.0,2,3.0,yes,London to Seoul,5,Premium Economy,Business,4,
359,Boeing 747-400,5,February 2019,4.0,5,5.0,yes,London to New York JFK,4,Premium Economy,Family Leisure,4,3.0
360,Boeing 777,4,February 2019,4.0,3,4.0,yes,Gatwick to St Lucia,4,Business Class,Business,3,
361,,5,March 2018,5.0,5,5.0,yes,London to Chennai,5,Economy Class,Solo Leisure,5,5.0
362,Boeing 787,1,February 2019,1.0,2,1.0,no,Baltimore to London Heathrow,1,Economy Class,Couple Leisure,2,
363,,4,November 2018,3.0,3,3.0,no,Bridgetown to Gatwick,2,First Class,Solo Leisure,1,1.0
364,A320,5,December 2018,1.0,1,1.0,no,London to Athens,3,Economy Class,Couple Leisure,2,1.0
365,Boeing 787,4,September 2018,5.0,4,5.0,yes,New Orleans to London,5,Premium Economy,Couple Leisure,5,
366,Boeing 787-9,3,January 2019,5.0,5,5.0,yes,Tokyo Narita to London Heathrow,4,Business Class,Couple Leisure,4,
367,Boeing 777,5,January 2019,5.0,5,5.0,yes,London to Tokyo Haneda,5,First Class,Couple Leisure,4,
368,,3,February 2019,3.0,1,1.0,no,San Diego to Frankfurt via London,3,Premium Economy,Business,2,3.0
369,A320,4,November 2018,4.0,4,2.0,yes,London Heathrow to Paris CDG,3,Economy Class,Family Leisure,4,1.0
370,A380,3,February 2019,3.0,3,4.0,yes,Johannesburg to London,3,Business Class,Family Leisure,3,4.0
371,,1,February 2019,3.0,1,1.0,no,Edinburgh to Bangalore via Heathrow,3,Economy Class,Solo Leisure,1,1.0
372,A380 / A319,3,March 2018,2.0,4,3.0,yes,Berlin to Johannesburg via London,3,Economy Class,Solo Leisure,4,
373,Boeing 777,4,August 2018,3.0,3,2.0,yes,New York JFK to London Heathrow,3,Economy Class,Family Leisure,3,1.0
374,A380,3,January 2019,3.0,3,3.0,yes,Johannesburg to London,4,First Class,Couple Leisure,3,3.0
375,A380,4,January 2019,4.0,3,3.0,yes,London to Johannesburg,3,Business Class,Couple Leisure,3,
376,A380,5,January 2019,4.0,4,5.0,yes,London to Johannesburg,4,Business Class,Family Leisure,4,4.0
377,Boeing 777,1,January 2019,1.0,3,1.0,no,Bermuda to Gatwick,1,Premium Economy,Couple Leisure,1,1.0
378,A321-200,4,January 2019,,1,1.0,no,Zurich to Heathrow,1,Economy Class,Solo Leisure,2,1.0
379,A380,4,January 2019,1.0,3,3.0,no,Miami to London,3,Premium Economy,Solo Leisure,3,3.0
380,Boeing 777-200,2,January 2019,2.0,4,3.0,no,Antigua to Gatwick,1,Premium Economy,Couple Leisure,1,
381,Boeing 787,5,January 2019,2.0,5,1.0,no,Bucharest to London Heathrow to Los Angeles,1,Economy Class,Solo Leisure,1,1.0
382,Boeing 747,2,January 2019,1.0,3,1.0,no,London to Miami,1,Business Class,Business,1,
383,Boeing 787 Dreamliner,3,June 2018,3.0,4,4.0,yes,London to Calgary,3,Premium Economy,Business,2,3.0
384,Boeing 787,4,June 2018,3.0,3,3.0,no,Calgary to London,3,Premium Economy,Business,2,3.0
385,Boeing 777-200,2,January 2019,2.0,2,1.0,no,Bangalore to London,2,Premium Economy,Business,1,
386,777,1,January 2019,1.0,1,1.0,no,San Francisco to London,1,Economy Class,Couple Leisure,1,
387,Boeing 747,4,October 2018,3.0,4,2.0,no,Heathrow to Vancouver,4,Economy Class,Solo Leisure,1,
388,A320,4,January 2019,1.0,5,1.0,no,London to Bucharest,1,Economy Class,Solo Leisure,3,
389,Boeing 777-200,5,December 2018,4.0,4,4.0,yes,London to Boston,1,Economy Class,Couple Leisure,4,
390,Boeing 747-400,3,December 2018,5.0,4,5.0,yes,Boston to London,2,Economy Class,Couple Leisure,4,
391,A380,5,January 2019,5.0,5,5.0,yes,London to Johannesburg,5,Economy Class,Couple Leisure,5,
392,Boeing 787-9 / 777,4,December 2018,4.0,4,4.0,yes,Newark to Bangalore via London,4,Premium Economy,Solo Leisure,3,
393,Boeing 777,5,December 2018,5.0,5,3.0,yes,London to Mumbai,5,Economy Class,Solo Leisure,4,
394,Boeing 777,3,December 2018,2.0,2,1.0,no,Heathrow to Sydney via Singapore,1,Economy Class,Family Leisure,2,1.0
395,A380,1,November 2018,1.0,2,3.0,no,Johannesburg to London,1,Business Class,Couple Leisure,1,
396,Boeing 787,4,December 2018,3.0,5,1.0,no,London to Kuala Lumpur,1,Economy Class,Solo Leisure,1,
397,Boeing 747,2,December 2018,1.0,1,4.0,no,Los Angeles to London Heathrow,2,Economy Class,Solo Leisure,2,
398,Boeing 777-200,5,December 2018,2.0,3,2.0,no,Gatwick to Barbados,2,First Class,Couple Leisure,3,
399,Boeing 787-9,5,December 2018,5.0,5,5.0,yes,Moscow to London,5,First Class,Solo Leisure,5,
400,A319 / Boeing 777,5,December 2018,5.0,4,5.0,yes,Glasgow to New York via London,4,Economy Class,Couple Leisure,4,2.0
401,Boeing 777,1,December 2018,1.0,2,1.0,no,Sydney to London via Singapore,1,Business Class,Business,1,
402,A380,3,December 2018,3.0,3,2.0,no,Johannesburg to London,4,First Class,Couple Leisure,3,
403,Boeing 777,2,December 2018,2.0,1,1.0,no,Gatwick to Barbados,2,First Class,Couple Leisure,1,
404,Boeing 747-400,1,November 2018,1.0,3,3.0,no,Cape Town to London,2,Business Class,Couple Leisure,1,
405,,5,December 2018,4.0,5,4.0,yes,Kuala Lumpur to Mexico City via London,4,Economy Class,Business,5,3.0
406,Boeing 747-400,1,December 2018,1.0,3,1.0,no,Miami to London,1,Economy Class,Family Leisure,1,
407,,4,December 2018,4.0,4,1.0,yes,Gatwick to Las Vegas,3,Economy Class,Family Leisure,4,3.0
408,Boeing 777,3,November 2018,1.0,3,1.0,no,Nassau to London,2,Premium Economy,Couple Leisure,1,
409,Boeing 747,5,November 2018,5.0,5,3.0,yes,Phoenix to Accra via London,5,Business Class,Business,5,
410,Boeing 777,4,November 2018,4.0,2,4.0,no,San Diego to Hannover via London,2,Economy Class,Solo Leisure,2,
411,A380,5,November 2018,5.0,4,4.0,yes,London to Johannesburg,5,First Class,Couple Leisure,4,
412,,5,November 2018,4.0,4,1.0,no,London to Dubai,4,Business Class,Business,1,1.0
413,Boeing 747-400,5,November 2018,4.0,5,2.0,yes,Vancouver to London Heathrow,5,Economy Class,Family Leisure,4,
414,Boeing 747,3,November 2018,2.0,5,3.0,no,Basel to San Fransisco via Heathrow,2,Premium Economy,Solo Leisure,2,
415,,5,November 2018,4.0,4,4.0,yes,London to Boston,3,Economy Class,Business,5,1.0
416,Boeing 777-200,2,November 2018,1.0,1,1.0,no,Buenos Aires to London,1,Economy Class,Couple Leisure,1,
417,Boeing 777,2,November 2018,2.0,3,3.0,no,Riyadh to London,1,Business Class,Business,1,
418,,1,November 2018,1.0,1,1.0,no,Singapore to Sydney,1,Economy Class,Family Leisure,1,1.0
419,A321,3,October 2018,2.0,3,2.0,yes,London to Athens,4,Economy Class,Solo Leisure,3,1.0
420,Boeing 777-200,3,October 2018,2.0,3,1.0,no,London to Bangkok,3,Business Class,Solo Leisure,2,1.0
421,A340-300,1,October 2018,1.0,3,1.0,no,Abu Dhabi to London,2,Economy Class,Solo Leisure,3,1.0
422,Boeing 777,2,October 2018,3.0,2,1.0,no,Gatwick to Orlando,1,Business Class,Business,1,1.0
423,A319 / Boeing 747,4,October 2018,4.0,4,3.0,yes,Newcastle to Las Vegas via London,4,Business Class,Solo Leisure,5,
424,Boeing 787-9,1,October 2018,2.0,2,3.0,no,London to Philadelphia,1,Business Class,Business,1,
425,A319 / Boeing 747-400,5,October 2018,4.0,5,4.0,yes,Manchester to Philadelphia via London,5,First Class,Solo Leisure,5,
426,Boieng 777-200,2,October 2018,2.0,1,3.0,no,Bangkok to London,3,Economy Class,Business,2,
427,Boeing 777,3,October 2018,3.0,2,2.0,no,London to Toronto,1,Economy Class,Solo Leisure,1,
428,A380,2,October 2018,1.0,4,1.0,no,Johannesburg to London,2,Business Class,Business,2,
429,Boeing 777-300ER,5,September 2018,3.0,3,2.0,yes,Singapore to London Heathrow,4,Business Class,Solo Leisure,3,
430,Boeing 747-400,1,August 2018,1.0,3,1.0,no,London to Los Angeles,1,Business Class,Couple Leisure,3,1.0
431,Boeing 747,5,September 2018,3.0,1,2.0,no,Miami to London Heathrow,1,Premium Economy,Solo Leisure,2,
432,,1,October 2018,1.0,1,1.0,no,London Heathrow to Milan Malpensa,1,Business Class,Couple Leisure,1,1.0
433,Boeing 747-400,5,August 2018,5.0,4,4.0,yes,London Heathrow to Miami,5,Economy Class,Family Leisure,5,
434,A380,5,September 2018,5.0,4,4.0,yes,London to Singapore,5,Economy Class,Solo Leisure,5,
435,"Boeing 787-9, A380",4,September 2018,3.0,5,3.0,yes,Kuala Lumpur to London Heathrow,3,Premium Economy,Business,4,
436,A319,4,June 2018,4.0,1,3.0,no,Los Angeles to Leeds via London Heathrow,4,Business Class,Couple Leisure,3,2.0
437,A380,1,September 2018,1.0,3,1.0,no,Chicago to London,1,Premium Economy,Couple Leisure,1,
438,Boeing 777,5,August 2018,5.0,3,4.0,yes,Riyadh to London,5,Premium Economy,Solo Leisure,5,
439,A320 / Boeing 787-9,4,September 2018,3.0,4,3.0,yes,Rome to Newark via London,4,Economy Class,Couple Leisure,3,
440,Boeing 747-400,4,September 2018,2.0,1,3.0,no,London Heathrow to New York JFK,3,Business Class,Business,3,5.0
441,Boeing 777-200,5,September 2018,5.0,4,3.0,yes,London Heathrow to Dubai,4,First Class,Couple Leisure,4,2.0
442,Boeing 747,5,August 2018,5.0,4,2.0,yes,Glasgow to Miami via London,3,Premium Economy,Solo Leisure,4,
443,A319 / Boeing 787-9,5,September 2018,5.0,5,4.0,yes,Pisa to Toronto via London,4,Business Class,Family Leisure,5,
444,Boeing 747-400 / A319,3,August 2018,2.0,4,1.0,no,Washington to Frankfurt via London,3,Economy Class,Solo Leisure,2,
445,A380,5,August 2018,3.0,4,5.0,yes,London Heathrow to Hong Kong,5,Economy Class,Solo Leisure,3,
446,A320,3,August 2018,2.0,2,1.0,no,London to Athens,1,Business Class,Couple Leisure,3,1.0
447,A380,5,July 2018,5.0,5,4.0,yes,London Heathrow to Singapore,5,First Class,Family Leisure,5,
448,Boeing 787,1,August 2018,1.0,4,3.0,no,Philadelphia to London,3,Premium Economy,Couple Leisure,3,
449,Boeing 747-400,1,July 2018,1.0,1,1.0,no,London to Las Vegas,1,Economy Class,Family Leisure,1,
450,A380,3,August 2018,3.0,1,3.0,no,Los Angeles to Milan via London,4,Business Class,Family Leisure,1,
451,Boeing 777,5,August 2018,2.0,4,2.0,yes,Toronto to London,3,Premium Economy,Solo Leisure,3,
452,A380,5,July 2018,4.0,4,1.0,no,San Francisco to London Heathrow,4,Business Class,Couple Leisure,4,
453,Boeing 747-400,5,July 2018,2.0,2,2.0,no,New York to Nairobi via London,2,Business Class,Family Leisure,2,
454,Boeing 787-9,5,July 2018,4.0,4,4.0,yes,London to Santiago de Chile,4,Premium Economy,Business,5,
455,Boeing 777,4,July 2018,4.0,4,2.0,no,London Heathrow to Seattle Tacoma,4,Business Class,Couple Leisure,4,
456,Boeing 777,1,July 2018,1.0,1,4.0,no,Aberdeen to Abu Dhabi via London,3,Economy Class,Family Leisure,3,
457,A320 / Boeing 747-400,5,June 2018,5.0,1,3.0,no,Prague to Denver via London,3,Economy Class,Solo Leisure,2,
458,Boeing 777 / A380,5,June 2018,4.0,5,5.0,yes,HKG to LHR,4,Premium Economy,Business,4,3.0
459,Boeing 787-9 / A380-800,5,May 2018,4.0,1,5.0,no,Jeddah to Chicago via London,4,First Class,Solo Leisure,5,4.0
460,Boeing 777-200,3,May 2018,1.0,4,4.0,yes,Bermuda to Gatwick,4,Business Class,Couple Leisure,2,
461,,4,July 2018,4.0,4,5.0,yes,Aberdeen to Boston via London,2,Economy Class,Business,3,4.0
462,,3,July 2018,2.0,1,3.0,no,London Heathrow to Hong Kong,3,Premium Economy,Family Leisure,2,2.0
463,,1,July 2018,1.0,1,1.0,no,London Heathrow to Manchester,1,Economy Class,Solo Leisure,1,1.0
464,Boeing 777,5,June 2018,4.0,2,2.0,no,London to Shanghai,1,Business Class,Business,3,
465,Boeing 747,2,June 2018,2.0,3,2.0,no,London Heathrow to Las Vegas,3,First Class,Business,1,2.0
466,Boeing 747 / 777,4,June 2018,4.0,4,4.0,yes,Delhi to London,4,Premium Economy,Solo Leisure,4,
467,Boeing 787(9),3,June 2018,3.0,1,3.0,no,Seychelles to London,2,Business Class,Couple Leisure,1,
468,A380,4,June 2018,2.0,2,2.0,no,London to Vancouver,2,First Class,Business,4,
469,Boeing 747,5,June 2018,5.0,1,5.0,no,New York JFK to Rome via London Heathrow,3,Economy Class,Family Leisure,1,5.0
470,Boeing 777,1,June 2018,1.0,4,3.0,no,Newark to London Heathrow,3,Business Class,Business,2,3.0
471,Boeing 747 and Boeing 777,5,June 2018,5.0,5,4.0,yes,London Heathrow to Seattle,4,Business Class,Couple Leisure,3,
472,Boeing 747,1,April 2018,1.0,4,1.0,no,London to Johannesburg,1,Economy Class,Solo Leisure,2,1.0
473,Boeing 787,1,June 2018,1.0,2,2.0,no,Calgary to London,1,Premium Economy,Couple Leisure,2,1.0
474,Boeing 767,2,June 2018,1.0,4,1.0,no,London to Zurich,3,Economy Class,Business,4,1.0
475,Boeing 747,4,June 2018,4.0,3,3.0,no,Glasgow to New York via London,2,Economy Class,Couple Leisure,3,
476,Boeing 787,3,June 2018,3.0,4,4.0,yes,London Heathrow to Baltimore,2,Economy Class,Solo Leisure,4,
477,,2,May 2018,1.0,1,3.0,no,Los Angeles to London,1,Premium Economy,Couple Leisure,1,3.0
478,Boeing 747-400,3,June 2018,2.0,3,2.0,no,Cape Town to London Heathrow,2,Business Class,Couple Leisure,3,
479,Boeing 777-200 ER,5,June 2018,4.0,5,3.0,yes,Toronto to London,3,Premium Economy,Solo Leisure,4,
480,Boeing 747-400,5,April 2018,4.0,4,4.0,yes,London to Chicago,5,Economy Class,Couple Leisure,5,
481,Boeing 747-400,2,May 2018,4.0,4,3.0,yes,London to Cape Town,4,First Class,Couple Leisure,3,
482,A380,1,May 2018,1.0,1,1.0,no,Los Angeles to London Heathrow,1,Business Class,Business,1,1.0
483,A380,3,May 2018,4.0,4,3.0,yes,London Heathrow to Singapore,4,Economy Class,Solo Leisure,4,
484,Boeing 747 400,4,May 2018,2.0,2,1.0,no,Washington to London,1,Premium Economy,Couple Leisure,1,
485,A380,2,May 2018,1.0,3,1.0,no,Singapore to London,4,Economy Class,Business,4,
486,Boeing 777-200,3,May 2018,1.0,4,1.0,no,Sydney to London via Singapore,4,Economy Class,Business,4,
487,Boeing 747-400,1,May 2018,1.0,3,1.0,no,Cape Town to London,3,Business Class,Business,2,
488,Boeing 787 / A320,3,May 2018,3.0,2,4.0,no,Washington to Prague via London,1,Economy Class,Couple Leisure,3,
